response_id,version,trial_position,loop_num,stem_id,stakes,att_level,correctness,trust,reliance,consequence,age,gender,education,ai_frequency,ai_expertise,baseline_trust,consent,trust_num,reliance_code,consequence_num,att_code,corr_code,stakes_code
R_5vwaY2ucmX7d6ud,6,1,50,7,low,strong,incorrect,2 Distrust,Verify before taking action or using the information.,4,25–34,Female,High school graduate (high school diploma or equivalent including GED),Never,,Neither Trust nor Distrust,Agree,2,2,4,2,-0.5,-0.5
R_5vwaY2ucmX7d6ud,6,2,51,8,low,none,correct,3 Slightly Distrust,Use the information or take the recommended action (do not double-check).,4,25–34,Female,High school graduate (high school diploma or equivalent including GED),Never,,Neither Trust nor Distrust,Agree,3,3,4,0,0.5,-0.5
R_5vwaY2ucmX7d6ud,6,3,52,9,low,none,incorrect,3 Slightly Distrust,Verify before taking action or using the information.,3,25–34,Female,High school graduate (high school diploma or equivalent including GED),Never,,Neither Trust nor Distrust,Agree,3,2,3,0,-0.5,-0.5
R_5vwaY2ucmX7d6ud,6,4,53,10,low,weak,correct,3 Slightly Distrust,Verify before taking action or using the information.,3,25–34,Female,High school graduate (high school diploma or equivalent including GED),Never,,Neither Trust nor Distrust,Agree,3,2,3,1,0.5,-0.5
R_5vwaY2ucmX7d6ud,6,5,54,11,low,weak,incorrect,2 Distrust,Reject — do not use the information or take the recommended action.,3,25–34,Female,High school graduate (high school diploma or equivalent including GED),Never,,Neither Trust nor Distrust,Agree,2,1,3,1,-0.5,-0.5
R_5vwaY2ucmX7d6ud,6,6,55,12,low,strong,correct,2 Distrust,Verify before taking action or using the information.,3,25–34,Female,High school graduate (high school diploma or equivalent including GED),Never,,Neither Trust nor Distrust,Agree,2,2,3,2,0.5,-0.5
R_5vwaY2ucmX7d6ud,6,7,56,1,high,strong,incorrect,2 Distrust,Verify before taking action or using the information.,2,25–34,Female,High school graduate (high school diploma or equivalent including GED),Never,,Neither Trust nor Distrust,Agree,2,2,2,2,-0.5,0.5
R_5vwaY2ucmX7d6ud,6,8,57,2,high,none,correct,4 Neither trust nor distrust,Verify before taking action or using the information.,3,25–34,Female,High school graduate (high school diploma or equivalent including GED),Never,,Neither Trust nor Distrust,Agree,4,2,3,0,0.5,0.5
R_5vwaY2ucmX7d6ud,6,9,58,3,high,none,incorrect,2 Distrust,Verify before taking action or using the information.,2,25–34,Female,High school graduate (high school diploma or equivalent including GED),Never,,Neither Trust nor Distrust,Agree,2,2,2,0,-0.5,0.5
R_5vwaY2ucmX7d6ud,6,10,59,4,high,weak,correct,2 Distrust,Use the information or take the recommended action (do not double-check).,2,25–34,Female,High school graduate (high school diploma or equivalent including GED),Never,,Neither Trust nor Distrust,Agree,2,3,2,1,0.5,0.5
R_5vwaY2ucmX7d6ud,6,11,60,5,high,weak,incorrect,2 Distrust,Verify before taking action or using the information.,3,25–34,Female,High school graduate (high school diploma or equivalent including GED),Never,,Neither Trust nor Distrust,Agree,2,2,3,1,-0.5,0.5
